parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1914556
pvalue,0.8403371
gene_symbol,Zc2hc1a
mouse_strain,C57BL
analysis_id,h00q8qb72jsamsw
mouse_life_stage,Early adult
