gene_symbol,Cd52
analysis_id,el22k55mwu98awv
gene_accession_id,MGI:1346088
pvalue,0.380565
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
