analysis_id,s9u7e7h7k327k3c
mouse_strain,C57BL
gene_symbol,Cd52
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
pvalue,0.1589326
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:1346088
