mouse_strain,129SV
pvalue,0.6654446
analysis_id,b738y6t811w3zzu
parameter_name,Sacral processes
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
gene_symbol,Inpp1
