analysis_id,45s273z98cds5gm
gene_symbol,Eprs1
mouse_life_stage,Early adult
parameter_name,Corneal opacity
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
pvalue,0.4327028
