analysis_id,7l682r8oomb7xlx
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_name,PP1 startle magnitude
gene_symbol,Cds2
parameter_id,ESLIM_011_001_002
pvalue,0.6233039
