analysis_id,zzp91x6u0lv47c0
pvalue,0.945911
mouse_strain,C57BL
gene_accession_id,MGI:1888742
gene_symbol,Extl1
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
