gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
pvalue,0.6598058
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_008_001
analysis_id,3m3p0c440zaj1wt
mouse_strain,C57BL
