gene_symbol,Frmpd1
parameter_id,MGP_IMM_131_001
analysis_id,nxgj6h823f85lo6
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
pvalue,0.123699
