parameter_name,End-Systolic Diameter
analysis_id,sa93sxm78633us5
parameter_id,IMPC_ECH_001_001
pvalue,0.2679021
mouse_strain,C57BL
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
