parameter_name,Phosphorus
mouse_life_stage,Late adult
parameter_id,HMGULA_CBC_010_001
mouse_strain,C57BL
analysis_id,191hrx80x4gn383
gene_symbol,Slc30a4
pvalue,0.7474156
gene_accession_id,MGI:1345282
