gene_symbol,Cds2
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.3363656
analysis_id,z00d6z9b2su0784
parameter_id,IMPC_EYE_009_001
mouse_strain,129SV
parameter_name,Corneal vascularization
