analysis_id,b0pm612zwi07qk4
parameter_name,Vibrissae - presence
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.6831893
gene_accession_id,MGI:1336200
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
