gene_symbol,Lcn2
analysis_id,g48j54909q93h23
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_id,MGP_MLN_010_001
parameter_name,Resting Treg cells - % of Treg
pvalue,0.1738405
mouse_strain,C57BL
