analysis_id,366306247j1g53t
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.1231136
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
parameter_id,M-G-P_005_001_004
