parameter_name,Radius
parameter_id,IMPC_XRY_022_001
gene_symbol,Dnajc8
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2203646
analysis_id,t98hr5g74rmc707
gene_accession_id,MGI:1915848
