gene_symbol,Ddx27
analysis_id,h5729566oj2l3k5
parameter_id,IMPC_CSD_007_001
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
pvalue,0.08506092
gene_accession_id,MGI:2385884
