parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Middle aged adult
pvalue,0.5440844
gene_accession_id,MGI:2140475
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
analysis_id,6esb97i46c2s6k5
gene_symbol,AU040320
