gene_symbol,Maco1
parameter_name,Alanine aminotransferase
pvalue,0.7324503
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,694k8174z28s9lv
parameter_id,IMPC_CBC_013_001
