parameter_name,Center average speed
mouse_strain,C57BL
parameter_id,JAXLA_OFD_017_001
pvalue,0.8645518
mouse_life_stage,Late adult
analysis_id,m4568v1jm5cj753
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
