parameter_name,Heart looping
gene_symbol,Trdmt1
mouse_strain,C57BL
pvalue,0.7467095
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
analysis_id,7475yi9q5a9tm11
gene_accession_id,MGI:1274787
