parameter_name,Hemorrhage
mouse_life_stage,Late adult
pvalue,0.1900535
mouse_strain,C57BL
gene_symbol,Secisbp2l
analysis_id,22ofwll91399615
gene_accession_id,MGI:1917604
parameter_id,IMPC_GEO_009_002
