gene_symbol,Rap2b
parameter_name,Cleft palate
pvalue,0.8536151
parameter_id,IMPC_GEP_076_001
analysis_id,wxn15080mubk4y1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921262
