mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
parameter_name,KLRG1+ gd T cells - % of CD45+
analysis_id,2w198n2316f730z
gene_symbol,Hpca
parameter_id,MGP_IMM_089_001
mouse_strain,C57BL
pvalue,0.3995699
