analysis_id,v7664363xq49x44
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:2446274
pvalue,0.6123498
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Ly6Clow monocyte percentage
