analysis_id,4r9pi56zukr2v1x
gene_accession_id,MGI:1921688
parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
gene_symbol,Clvs1
pvalue,0.2429568
mouse_life_stage,Early adult
