analysis_id,8y3649lk023mh20
mouse_strain,C57BL
gene_accession_id,MGI:1927232
gene_symbol,Rab13
pvalue,0.1126571
mouse_life_stage,Early adult
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
