analysis_id,2k89y9gx18797g2
mouse_strain,C57BL
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
parameter_name,Phosphorus
pvalue,0.5940688
gene_symbol,Sgip1
