gene_symbol,Hpca
mouse_strain,C57BL
parameter_name,Number of rears - total
pvalue,0.8662487
analysis_id,9229kv7qe54p2f7
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
parameter_id,JAX_OFD_021_001
