analysis_id,7z10440nnv45x1g
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
gene_symbol,Casq1
parameter_name,Center distance travelled
pvalue,0.5396087
gene_accession_id,MGI:1309468
