analysis_id,j1xvq6w2u3kekx6
gene_symbol,Hpca
pvalue,0.5972048
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
