parameter_name,lens opacity
analysis_id,5s4i301346580i0
gene_symbol,Kcng1
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
pvalue,0.8282253
