gene_symbol,Ncaph
mouse_life_stage,Early adult
pvalue,0.4768164
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
analysis_id,2g8h1x4lrw7976z
