parameter_name,Hematocrit
pvalue,0.4689286
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
analysis_id,y6q041mzy08j559
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:1917604
