analysis_id,14e655l5jkb31l3
mouse_strain,C57BL
gene_symbol,AU040320
parameter_name,Total cholesterol
pvalue,0.691508
gene_accession_id,MGI:2140475
parameter_id,IMPC_CBC_015_001
mouse_life_stage,Late adult
