parameter_name,B1B Cells
gene_symbol,Atf3
pvalue,0.9983344
gene_accession_id,MGI:109384
analysis_id,2ny31039gu82xfr
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
