gene_symbol,Gja10
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1339969
parameter_name,Retinal Blood Vessels Pattern
pvalue,0.4739869
analysis_id,hcncpzuq7dd89ge
