analysis_id,4a9j1ag2423xzb3
gene_accession_id,MGI:1919935
mouse_strain,C58BL
gene_symbol,Dnajc6
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
pvalue,0.7591536
parameter_name,Distance travelled - total
