gene_symbol,Amigo1
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
analysis_id,v2586glu16i4rr6
pvalue,0.4466574
