parameter_name,Red blood cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
analysis_id,g9c7i1y3t7u0393
parameter_id,IMPC_HEM_002_001
pvalue,0.3393141
