gene_symbol,Sema6c
analysis_id,7sq63lsrs21jw43
pvalue,0.9792637
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
parameter_name,Startle response
