parameter_name,Pericardium Morphology
gene_accession_id,MGI:1914071
pvalue,0.4689116
analysis_id,2hc3bh94666l5ze
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
