analysis_id,mmy5sdvj57156he
pvalue,0.5490908
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:1915087
