parameter_name,Placenta Size
mouse_strain,C57BL
analysis_id,41n551867eqgu0k
gene_symbol,Eprs1
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
pvalue,0.6314035
