parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:2444114
pvalue,0.3414328
parameter_name,Heart weight
mouse_strain,C57BL
gene_symbol,Zcchc2
mouse_life_stage,Early adult
analysis_id,9u16lbhus2t1y2l
