parameter_name,Haemoglobin
gene_accession_id,MGI:2444554
pvalue,0.6883098
analysis_id,lhow8fxexc62tdp
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
mouse_life_stage,Early adult
