parameter_name,PR
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,118gyx51k7d11k7
parameter_id,IMPC_ECG_006_001
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,1.276423
