parameter_name,Heart weight
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.3749283
analysis_id,7n5ay2nqg42nw66
gene_symbol,Zmynd8
parameter_id,IMPC_HWT_008_001
