pvalue,0.8600442
mouse_strain,C57BL
gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_001_001
analysis_id,38r906ysa8hs2zc
gene_accession_id,MGI:1914944
parameter_name,Eye
