gene_symbol,Wars2
parameter_id,IMPC_EYE_092_002
pvalue,0.9142702
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,634056uz9xx0836
parameter_name,Retina (combined)
