pvalue,0.117939
mouse_strain,C57BL
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
parameter_name,Skull shape
analysis_id,436rt1a8ixa98er
parameter_id,IMPC_XRY_001_001
gene_symbol,Sdcbp2
