gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1747236
analysis_id,y33u61891dlragf
