analysis_id,9aax77y67f6s964
gene_symbol,Bmp7
pvalue,0.2245199
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
parameter_name,Radius
gene_accession_id,MGI:103302
mouse_strain,C57BL
