parameter_name,Anophthalmia
gene_accession_id,MGI:2446274
pvalue,0.3336091
parameter_id,IMPC_GEO_048_002
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,l9e98m35la1n51s
mouse_life_stage,Early adult
