parameter_id,JAXLA_HBD_001_001
gene_symbol,Lpgat1
analysis_id,09de10p0h8os1w0
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7706484
gene_accession_id,MGI:2446186
parameter_name,Total holepokes
