gene_symbol,Amigo1
parameter_id,IMPC_IMM_073_001
pvalue,0.961177
mouse_strain,C57BL
analysis_id,i4bzli8dy243ztv
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:2653612
