parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
pvalue,0.7531666
analysis_id,j292bv77463xl8y
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
