analysis_id,bbzx09z5o5qcj30
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
gene_symbol,Sfpq
pvalue,0.9228924
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_name,Lens Opacity
