mouse_strain,129SV
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,Effector NK cells - % of NK cells
analysis_id,70an7f5i4et1v17
pvalue,0.3016776
