analysis_id,b07s44px99j7166
mouse_life_stage,E12.5
mouse_strain,C52BL
gene_symbol,Eprs1
pvalue,0.8702496
parameter_name,PP4 + pulse startle magnitude
gene_accession_id,MGI:97838
parameter_id,ESLIM_011_001_010
