analysis_id,9o1tmg4c1r7oofz
gene_symbol,Rgs20
parameter_id,IMPC_CBC_025_001
pvalue,0.6239603
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
mouse_strain,C57BL
