mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
gene_symbol,Maco1
gene_accession_id,MGI:1913396
pvalue,0.3009958
analysis_id,24i4l9yg9396u16
parameter_name,Edema
