analysis_id,xp7352316d0ah7n
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
gene_symbol,Mecom
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
mouse_strain,C3H
pvalue,0.2342661
