gene_symbol,Ahctf1
mouse_strain,C57BL
pvalue,1.178536
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1915033
analysis_id,4ac2or5c86013u1
